ID,explain_nonmoney
R_13Mems8JdCBG3XX,"I gave them 5 ballpoint pens as well, because again it just seemed fair to split them evenly. We both don't know each other so it's easier to split 50/50."
R_1nnoY3uohywtQ6R,Pens are something that we use everyday. It will take me a long time to even go through 5 so I shared.
R_3EWduXOxjyk26u2,"I distributed them equally, since we both need to do the study and put equal effort into it. In addition, I would also wish for the other person to share with me equally, so I am setting a positive example."
R_57AAiru2ik2O9Vf,"Same reasoning as the previous answer. I don't want to hold all the pens, so I will share."
R_33gyivh9W8nnve7,I split them both evenly so that we could both have the same amount of pens. I think that it was the fair and proper thing to do given the situation.
R_12nWCBToMTvHzUd,Splitting the 10 pens in half between us was the idea. I personally do not need 10 pens all to myself.
R_5Q6kI007juCSTtx,"It was for a similar reason. She is a participant and know how much I would have taken, so I do not want her to be upset or a bad impression if I take too much. I don't really need a pen, and I am not sure if she does, so I figured we could just split it in half (fair)."
R_5sUdSEAJx37b50a,"I gave each of us 5 pens because he seems like he needs some more pens. He commutes to school and therefore, it seems as though the more pens the better. I needed 5 pens because I like writing in pen and I lose them fast."
R_6dIfH3gLe29ihLH,"I allocated 6 pens to the other participant. This is because I would take a few, but I don't need many pens."
R_3Dbvrz3vTEnCudu,"I don't have any use or need for pens, I only use pencils."
R_3QJHEs8JgURm8WF,"I thought of this one the same way as the dollars. Because we don't know each other very well, it makes sense to me to split the pens evenly."
R_6ekcmtycYXMVHJD,I don't care to have more than my partner as a ballpoint pen isn't very important to me.
R_31fgDUEV4fyZFBv,"Like the $10, I split the ballpoint pens equally between us because I felt like it was the right thing to do. I also do not have a personal use for all 10 pens and thought the other person, who is a fellow student, would appreciate having them."
R_7Fu3cilVl8t2LBi,"She may need some pens as well. They are very useful, and I would like her to have just as many."
R_5DZviTMJCc4mzxC,"I split this even as well, for the same reason that I split the bills even. I know that I could use a few pens for my work now and in the future, and my partner might too."
R_6MLGD005V4oMhPA,"Since it's me and only one other person, 10 pens divided by 2 people is 5 pens a person. However, my other logic that I used is that I personally don't need many ballpoint pens, so splitting it up down the middle is easy and fair."
R_1VBCcbo8kJWQRd3,"I split down the center to keep it fair, so we get an equal amount."
R_31mqQNtXiaNDvyB,"The person that I met was nice and easy to talk to. So, I figured we should have an even split of the pens."
R_5bV3hF4RZdnCPPO,"At first, I thought I would give her 7 and only take 3 for myself since I don't really need them. However, I realized that she may not need them either. It only made sense to split it 5 and 5 when we don't know how much each other wants/needs."
R_5pE6M5MtgyeOLMe,"I said I would take 4 and they can take 6, because I already have some ball pens and I do not need many more. I figured I could take some and they could take the rest. I originally put that I take 3 and they take 7, but that seemed like too much and that they probably wouldn't want 7 pens."
R_37h7KeGM3lLFgTT,"I just thought that it would be best if we evenly split what we were given when we were together. I don't need all the new pens either because I already have pens that I like to use, which is also why I didn't choose to allocate more to myself."
R_3YXuAls6aqx6HIa,"Then we will have an even amount, and I don't need 10 pens"
R_1Apjhgn7I9gIE3T,I split them evenly because that is fair and I don't know why a person would need more than 5 pens at once
R_1lZUsUPigHomyiZ,"Because I don't think I need too many ballpoint pens, so I choose to distribute it fairly."
R_6HBNs1JOenfx2Kc,I don't know what they are so I just gave them away.
R_6o7pZVkZa6FIbhL,i'm sure he needs pens so i allocated some to him. i also gave him 3 pens because i do not need all 10 of them.
R_1Eyj1iiInL4hlKz,"To distribute the 10 pens, I chose to give myself 6 because I use pens often and they run out quickly. I do not know the other person's usage of pens, but I assumed it was probably less. Additionally, I gave myself 6 pens because 5 would have been an even split and I felt I deserved more."
R_6Nhr4PsJ8LEoe7a,"I always need some new pens, but I didn't want to be selfish so I gave the other participant 7, and myself 3."
R_7YJkkoFBcs1AhA5,Splitting up the pens evenly is the most fair. The pens would make no difference to me.
R_3R9jIJa44nfs8pP,"I do not need any of the pens, so I gave all 10 to my partner. Since I do not need them, I didn't see the point in keeping any to myself"
R_3E4ndeq7iwlGRek,I gave 5 ballpoint pens to both of us. I did this to keep things equal.
R_3C28cmPxYJrTsSy,I decided to spilt the ball pens evenly because we have the same class and need it to write.
R_7Q0KNcwFENdFYbS,"I do not know this person, and there is no incentive outside of this study, so splitting seems the most rational decision."
R_6dmNDZNETS29MBO,I also evenly divided the 10 ballpoint pens between the other participant and myself because I do not need all 10 for myself. An even 50/50 split makes the decision easy and leaves both parties leaving with more than they had.
R_7tsbJYkwDT0mrSg, I split the sum in half between us. I did this because its fair.
R_7KLyh9zZONWoeQ1,Dont have an interest or want in ballpoint pens. So i split it 50/50
R_7QGy7baxYxje71n,"10 pens is a large amount, and I really don't need all 10 of those for myself. I use only one pen at a time so having two extras seems like a good amount for me to keep. I gave the other person 7 because I don't want any more."
R_6CrcILUzdu3TwYh,I usually do not use pens; I'd rather give it to someone else in case they may need extra.
R_1rv3PwiOhWkCz1w,"If I have 10 pens and 2 people, 5 pens per people seems fair"
R_1EL999ksllBioH9,"I split them evenly because I'm always in need of a pen but anything more than 5 ball point pens is just too many, I prefer gel anyways.  I also thought that they might need a pen, it definitely couldn't hurt in school but giving them too many pens might be too much for them.  I wouldn't want them to throw them out or something if they didn't have use or just be upset because they got stuck with a bunch of pens.  So, I figured if I split it evenly it's a win win."
R_14issEJrXpDGDXT,I decided to split the amount of ballpoint pens evenly. This means we would each receive 5. I think fairness is important and there is no reason why one of us should receive more than the other person.
R_6eLgcCQkNvrgMrE,It seems fair. We both put in same work/effort and had a good conversation.
R_58ZH34UwsgOlua9,I chose to get 7 ball point pens because i often lose pens/ pencils and i could use them. I gave him three because it is not right to take all of them.
R_7fD07WU2BHnrOE1,It is only fair that we both receive equal amounts of ball point pens. I would be very sad if my partner did not also share 5 pens with me.
R_138O30aAad6sXFi,I thought it was just fair.
R_5AxZeYO1PZGBr8t,It seems the most fair to have the same amount of ballpoint pens. We both probably have enough ballpoint pens so it wouldn't be rude to share the same amount. It could be rude giving someone more than the half making the pens seem to be less valuable.
R_7U3AWsnOVMI7Fo8,It is even split and fair
R_7eOS2mSLrCD3gwh,"I decided to split the 10 pens because its a lot of pens. If we are randomly partnered, neither of us did anything to deserve more over the other, so I kept it equal."
R_5Li2J2EWjSAXOkj,"I picked to split the 10 ballpoint pens evenly between us, so 5 for me and 5 for my partner. I did this because I think it was only fair that we both get the same amount, and no one gets more than the other. I would not want someone to get mad or jealous for not getting the same amount, so the right thing to do is split it evenly."
R_39P74NKaLpPLunL,"There are 10 ballpoint pens total, I think the 5 vs. 5 for two of us is fair."
R_6HzrYRfPUPGqzVQ,My value of pens is significantly lower than my value of money. I have almost too many pens and so it is in my interest to give pens away rather than keep them all.
R_3XV1lVKMJW4Vgk1,Neither of us indicated a want/need or lack of want/need for pens. I'm assuming we both use them so it's fair that we split them.
R_1VCOXoB5X9Kwg7o,I choose to only give myself 2 pens since I have many pens and pencils already and don't need them. I felt it fair to not take a resource I need and instead give it to someone who may better benefit from it.
R_524x5XFRxXUcgVh,"Getting 10 pens is a lot of pens. With the same principle as the money, I think it's only fair that we split the pens equally."
R_7F6HMSmBs1PtO0x,I gave myself 6 pens because I know I have only two pens right now. I lose my pens often and having more would help. I also go through pens fairly quickly.
R_7JKoyjKFQCvQdJP,i definetly dont need more than 5 ballpoint pens for any reason. and its the same idea as the dollars. an even split.
R_3hrUXlugrtOAqh1,I don't really use pens but she might. I think they would be of more use to give to someone else.
R_5uVS7VdkVoTg8pn,I gave them 8 because I do not see the need of using ballpoint pens myself. Not knowing this person they could need them so decided to give them the majority.
R_5zMD7SzDZaj1s7v,I gave them 3 because I wanted more than them and I am also just greedy.
R_5M6QhD1h3m4GswV,i get to distribute so i can have an extra one
R_7Gqh4Z8nvoQoRkB,"Well, they are just pens and I don't need 10 and I'd assume he probably doesn't need 10. Thus, I chose to just split them."
R_53irJOPhVjnD9MR,I think that it is only fair for it to be equal. We were both given the same number of pens and it is a even number so it worked out okay.
R_5mdDsNTPibpzaZJ,I think it is just the fairest option to equally split the pens. I don't think either of us need any more than 5 pens anyways.
R_78KJ0oTZhAcYIbn,"I feel like pens are useful for every student. 5 for each of us seemed fair. I honestly wouldn't even want/need that many, but it also felt excessive to leave someone else with more than 5 pens that they might not want."
R_3rGUaaqe7RNOrHw,"I split it evenly. I don't really need ballpoint pens, and I am not sure if they do either. However, I split it in the middle so that it's fair."
R_6oyZ1KW1UbGQgoA,"Again, this is the same thing, we can bond by me giving him 9 ball point pens. Gave him 9 because I only need 1."
R_1H8lUcum5vHILLj,"I chose 5 pens for the each of us. This is because we each get the same amount, making it fair and equal."
R_5mRFTejKaVw0SGJ,I like things playing fair and just
R_7xPsyuCWOtI1yQ8,1.i feel good to allocate ballpoint. i can get good experience
R_50NzY5Kw2QVWR45,Pens don't have a ton of value and there is no reason for me to have all ten pens to myself. I honestly could have given him more as I have pens and pencils.
R_5nZZZuO81zsf4GJ,"Once again, I think greed is bad even when it is with something small as a ball point pen. These pens could last me a long time and I'm sure the other random person would also benefit from this."
R_6sdrMPZbbcjuwKb,I allocated 5 ballpoint pens to myself and the other participant because it felt like doing it evenly was the best way. I do not need more than five pens and I would have been willing to give the other participant more if she needed them but I do not see a need for either of us to have more than five pens.
R_1FLqGno7JDQAYq0,"I gave them the same amount that I would give myself. This keeps things even and fair, since any other way wouldn't guarantee the same outcome for both of us."
R_5dKRT3FoisVustS,I allocated this portion because I do not really need 10 ballpoint pens and I don't think she needs that many either so I split it down the middle. 5 ballpoint pens feels like a decent amount of pens to have.
R_6lxDAcSVNbDT0M0,Same reason as above
R_1I6x4xkaIgQyZCK,i dont need pens so since i kept money for myself i gave my partner all the pens to kind of make it up
R_1gCrPV4wEYVBkuq,"Pretty much the same reasoning as above, this seemed easier to split since I don't perceive any monetary value with these pens."
R_7ootysCxs86SzAt,I split them in half because I feel like that is fair for the both of us. I would feel guilty taking anything more and not right to take anything less.
R_5yP79ZGjvQwH6JH,I picked 5 each because it seemed fair splitting it in half. I think 5 pens is a reasonable amount to own
R_5WHjQQwmmZED8DD,I distributed the 10 ballpoint pens equally between the two of us. I didn't want to be unfair or be selfish by keeping more than the other person so I thought we would just have the same amount.
R_3vpAgqWygQQYYUN,"Since it's an even number, we can split it in half so that its fair."
R_1PS55MupH6ok20F,we are both students and i have many pens at home
R_1DKXwjWEPgeXPFf,Split the time fifty/fifty
R_71aEdDpuFA56mQh,"I would want to be fair with my partner, so I would allocate the time fairly and split it between the both of us. I do not like to be selfish and would want to make everything fair."
R_7dx8QWh4NO25e1z,"For a scenario like this, people would usually divide the time equally since it would mean that everyone gets a chance to take a quality break. So again, I allocated 5 to myself and 5 to the other participant because I want to ensure I have a break at all."
R_7BKEL9jJ9RqKPPr,I decided to give my partner 6 minutes of music. I gave myself 4 minutes. The reason why is because I don't necessarily need music to do a boring task.
R_7zbuQzH3WPlKswF,I was given 10 minutes so the most ethical and fair way to go about splitting that time would be to split it 50/50. My partner seemed kind so I think she would do the same.
R_5VswU4tNRDDAZWZ,"I allocated myself 5 minutes off and the other participant 5 minutes off. I am not sure how the other participant would feel about the time off, so I split it evenly for fairness. I would have gave myself less time off because I don't really care, but I don't know how the other participant feels so I did not."
R_77D4OQrPZvJLykE,"I gave both of use 5 minutes for each. It is fair, I don't know why either of us would be unhappy"
R_1gqjrSteEGFkXzd,"I feel like compared to the money; there is no true loss besides time in giving someone less. So, I split 70/30 music for me. I think that taking all the time to listen to music is wrong, however, in a situation where the only loss is time. I feel that it is fair to take more."
R_7K3euBwkELsI7AZ,i allocated that time because it is the fairest and me and the other person deserve to have an equal portion of work
R_12EswaFCxqS2pC9,I offered a 50/50 split. I did this because it is fair to both parties.
R_7YmIaW8ojtDsHlA,It seems fair to divide it evenly between us if we both have to do the same boring task. I would feel guilty not dividing the time up that way.
R_74NPbcqogVfHPeE,I allocated more time for listening to music to myself because I do not really know my study partner.
R_6Qn93cSFob3sMxe,Again I split the time evenly so we could each get the same amount of time of pleasant music. This is the fair way of doing things.
R_68HsBfwDka3Froy,It would be fair to split evenly so that we both worked on it. I do not want my friend to spend more time on a task knowing I could help out.
R_3rhAwIQWRpfxGN3,"Same thing as last question, I feel like if we both get 5 minutes of break time, it would be fair. If I were to get more or vice versa, it would not be fair."
R_7EhLsUJPlxMEG2Q,"I don't know the other participant very well, but I imagine she would also want time off from doing the very boring task. Five minutes each would be the most fair way to split up the time."
R_5CPpUYkP2H2Dnos,"We are partners and I don't think it would be fair or kind to give either of us more than the other, we are equals and should treat each other as such."
R_79LS7ZeIhN8eu7T,"Because if we were both doing the same task, I think we both deserve the same amount of time to relax. Plus, listening to calm music does not have any personal connection or value to me in this scenario."
R_7KmckgF7vfgAQHn,I thought it was fair to divide the time evenly between us.
R_69sT3qPj8TPjuS4,"i think i might actually enjoy the menial task and it's only for 10 minutes, so i thought she might be able to enjoy the music time more thoroughly than i would"
R_7323u7jPhoHtjjV,I chose to split the 10 min evenly between me and the other participant. If I were in the other position I would want someone to choose this method too.
R_6eVgBjwZBGkb44e,"I feel like it is most fair to split it up 50/50. Especially is we were both offered it, it would feel stingy to take it all."
R_5dzPVJgchQQZ16M,"it is fair to split the ten minutes evenly. since i dont know the person i was paired with very well, i do not know if she enjoys the task and would like less time off or hates the task and would like more time off."
R_3Ldpccf1oD6feQd,"This is the same situation, I know they are aware of the choice I had to make and I always want to be kind and caring, because I would want the same done for me."
R_3EBeyjxLYIErMf0,We are all here for the same reason I feel it would be a little rude to allocate more time to myself to get to listen to music. I also think only 5 minutes of crossing off e's would not be that bad after all.
R_1rp5915ix5xNhyE,"I allocated both myself and my partner 5 minutes off. I did this because the amount provided to us, 10 minutes, could be easily and evenly divided between the two of us. It is not fair in my opinion to distribute the allocated minutes in any other way"
R_333vYseVqnP5ZrP,"Pretty much the same answer as the previous; its only fair that we both get the same amount of time listening to pleasant music, unless they like to cross out a bunch of e's for fun"
R_3gTmRtENTmOlIPx,"I allocated 6 minutes because repetitive tasks are sometimes easy for me, so I wouldn't need too long of a break. However, I don't know my partner well and they might enjoy listening to the music. If they don't, it wasn't too much additional time anyway."
R_5QYsET58CKW5exo,"I chose to give the entire 10 minutes to my partner because when I was talking to him before starting the surveys, he seemed like a very kind person. Furthermore, I would not mind finding and crossing out the letter 'e' in multiple paragraphs of text. Honestly, I would find that kind of relaxing."
R_63WeIchcsZxH4er,I wanted to evenly distribute the amount of time amongst me and my partner. I wanted it to be fair.
R_3dubWwCxmu0kzO4,"Again, I split these minutes in half for the same reason as above. Mainly because it is fair that way and neither one of us would feel as though we were robbed."
R_3rvsSVdwwMRM9j3,Because i dont need that much time and i give it to the other paticipant and it will maybe make her happy
R_6HNtDJTxuJCJzo4,"I decided to make it even because if he wanted to listen to music as well. we would have even times, and nobody would be angry at how I distributed it."
R_1f7f0W1THMlI2MO,I split the 10 minute break in half with my partner getting 5 minutes off and myself also getting 5 minutes off. I did this because it seemed most fair given we did not discuses our reading skills or speed or anything else along those lines.
R_5nIB3Uug9ZUvusd,I feel like we don't owe each other anything and won't ever do anything together so we may as well be fair about splitting things up. If it were a friend my answer may be different depending on who.
R_5HXJbE5vpnxOUuz,I think it is appropriate to share this time as the task is boring.
R_6kKYL2nZMt2CLJv,"I wanted to be fair to both me and this other random participant, so I decided 5 minutes each. I did not want any distributive injustices, so I decided for equality."
R_3OXu0AzMNOjvBAd,I didnt know this person and i would feel bad if i took all the minutes off
R_3F312Mgj0skmq1m,i split it evenly so its fair and nice to both parties
R_7MxGzf2rOo59Plg,I just split this in half to divide the work up evenly
R_5G2s8RCCqbzbDOg,"Like the example above I thought it was fair to split it halfway. If we are given 10 minutes of music, why not split the time 5 and 5. This would be a fair decision to split up the time."
R_6F2qRBjuqkfUGMe,I feel like I could deal with searching for the letter E and it would not bore me too much. And stopping to listen to music for not even that long would not be needed for me.
R_5eRLNd0GCC1WcUF,I gave us each equal amount of time off. I thought that was fair and she was friendly.
R_6EHlFmzyNWGu9Jm,I split the time evenly because I feel it is the fairest. I don't want this person to feel offended to upset if I got more minutes than her so that is why I made it even. I think we would both be content with 5 minutes.
R_5qfK1yWyr3c6iLd,"I decided to split to 10 minutes off total right down the middle, 5 minutes off for me and 5 minutes off for my partner. I decided to split it in half because I thought that would only be fair as we were both doing the same amount of work. It wouldn't be fair if one of us got a longer break despite having spent the same amount of time on this assignment."
R_33jVdMtfu1y5gPv,I don't know my partner at all other than when we talked before coming in. I think since we are both in the same position of getting randomly put together and we are both participants in the same study it is only fair if we split the 10-minute music time into 5 and 5.
R_3UqRyqHbaQE58eR,I gave the other participant 5 minutes. This was because there were 10 minutes in total between the two of us. That is the fairest way to split the minutes up.
R_5VjCTIS0Bf7aJvH,i feel like it was only fair. this was i could spend half off and so could my partner
R_3EcZowlZLQR82YC,"I would feel bad giving someone else too much of a workload that I can take on myself. It also was not a horrible load, it can be tolerable."
R_1tyR7atVhAT7kf3,I don't know this person but we chatted before the study and she was very nice. I am also a fairly nice guy so I am happy to split everything evenly. I think that is probably the best way to go with anything.
R_6nNIVzAHk9OSqOG,"same thing with the money, being fair"
R_7PUynF0fCaQhrQ2,It's someone I just met and an even split seemed to be the most fair. A 10 minute break is too long and I wouldn't get the job done as quickly if I took a long break and someone else took no break at all.
R_3kNghLenr1hs9pc,"Again, if the study was very boring and we both had to endure it, I would rather us each have 5 minutes to listen to music. I feel that this is the fairest way to go about it."
R_7W9SXUKxWNoRRFn,"I thought that if we were both doing the task we would tire less from both having time away for the task. While the time was given to me, I didn't think it was fair for me to get all of it while my partner was stuck doing more work."
R_6msjMToXojQ8gUy,"splitting the time evenly is the most reasonable options. since i do not know my partner, i would prefer to split the time in the fairest way."
R_6kOgobQCssl1cjS,it is fair to split it
R_6qql59HU0vlg8jT,It just makes the most sense to me for the time to be split evenly between us. I would feel awkward taking more time than my partner.
R_1FxZWcS32ruEz38,I split the time evenly so the both of us could have the same amount of time listening to music and also crossing out the e's in the paragraphs.
R_31XVl4J0dvPrpIS,it is fair that we spend the same time doing the same task
R_5aS9B3X8y9fFujy,"Again, I decided to split the time evenly. I can't really think of another way to do it that is not unfair or rude."
R_3TY5MKTyAyltH1W,I think that splitting the time evenly is far as I do not want to be selfish. I dividing it is also the best way so there are not arguments.
R_7NDHg8T2dpckpZA,"I want it to be equal. If I were the other person, I would want my partner to make the time equal also."
R_3FywtBwaHkbRQ9U,I chose to split the time evenly. Seemed the most fair. Have no reason to keep all for myself
R_7X6zVyVsXeOhyXD,"I don't mind doing mundane tasks. I would rather give my partner more time to enjoy themself, and less time doing a task they do not want to do"
R_5DV7FP8u3GnBTsB,"I also split the minutes in half. We each get 5 minutes, enough to listen to some music and relax, then get back to work."
R_1Kqorv1h0N3VCjo,"I think the money is more important to split, so I didn't mind being a little greedy and keeping this to myself"
R_3iWpSH1sh5gONV5,"i split the 10 minutes because i think it's only fair. it's a win-win situation as we are both getting shorter working time. i also really don't mind repetitive tasks, i actually think i would enjoy the crossing out e's task."
R_50qhzjHXuDjXF2E,"I chose to distribute the 10 minutes evenly because that's what I believe is fair. I gave my partner 5 minutes and myself 5 minutes, and I think that is the best way to do it. I don't want my partner to think I am selfish, and I also would feel uncomfortable giving myself more break minutes than him."
R_5e8DGUvH3lxyd8B,Because we are a partner and this proportion is fair for everyone.
R_771hcydHvfBqai1,"I chose to split the times of pleasant music evenly because if we are both doing the boring puzzle then we should both take breaks equally. If one person takes a longer break, the other person might feel it is unfair and end up not doing the work well."
R_7G1uPcNKWJ9oEtX,"I don't know the person who I am splitting time with. So, I would just go half and half so it's a win-win."
R_5egYmijLoMjvl5P,I felt 5 minutes each was an even split. I don't know this person well enough to not make it even.
R_3ySxE7Hsqfv7ynv,I felt as if the allocation of 10 minutes was not something that I cared very much about. I also don't know how much my partner cared about the amount of time. It felt fair to split it evenly.
R_6DTw95ROdU3LHLt,I also split the minutes I was given in half so that it would be even. Since the music was given as a reward it is only fair that we each get the same amount.
R_3KopMtmn3U0D9qe,I split it evenly because it is fair. Nobody has the right to get to listen to music for longer than the other. We must suffer together and enjoy music together for the same amount of time.
R_7ie5ZMQvGHXQUFj,"I would just split it evenly to be nice, I could use the 10 minutes of music but that would be selfish and I would like to be nice and can get through 5 minutes of nothing to do or listen to."
R_6FhCE5HCjgxrO3n,I think it's only fair for us to both have equal amounts of time listening to music. She was nice and friendly.
R_5SM4ZnPt3qROXkd,Half and half
R_6aII1KiYNTaXAvX,It is only ten minutes. I would rather make them happy and just do the quick task. I would take two breaks for a minute or just use it all at the end.
R_6DOzz06wYRlG72z,"I wanted to be even. My partner seemed like a really nice person, and I did not want to rip them off. We are both doing the equivalent amount of work here."
R_6ZLo9usiNV2d7rj,"Again, I let us each have 5 minutes enjoying music rather than splitting it unevenly. It's the fair thing to do."
R_6PtumLnkRDe4xnu,"I don't know him all that well, and it would be unfair to either of us if the minutes allocated for each of us to be unequal."
R_1f39u8tAHLyMru3,I chose to split the 10 minutes off in half (so 5 mins each) because that is the most fair and right thing to do. That decision is free of all biases and equal.
R_5kvoAoW1mi8rLpy,I gave us the same amount of time because that means we could have equal breaks from doing the boring task. It would help us both stay motivated to complete the task.
R_6wzS8DyiVPpmHcG,I remain the same rule to allocate the time fairly to each of us so that we can get the same time to finish the tasks.
R_1P7VVLZ7umCRzrt,Because I just met this person so I do not want to seem selfish or rude. It is also not fair of me to take all the rest.
R_3QusKeonMjyUOQq,It was fair and even and I knew we would both want a break
R_6lbGEDxDzDN7twB,"We are all going through the same thing, and I am a fair person who would feel bad if I took some time of music away from them. I think they would be appreciative and unselfish doing the same for me."
R_6j6CfdZu0bEV1Fr,i don't need the 10 mins off because it's not a difficult task and it's just 10 minutes
R_1PCfYbr6b2XdjeL,"If we are both doing a very boring task, I would like him to also have the chance to have a break"
R_5bKaCeFEtexMdTh,10 minutes would go by fast regardless of the task so I don't mind crossing off e's in a paragraph while my partner listens to music
R_1dp1i7kVWXId2hd,"I gave her 5 minutes and me 5 minutes. It's the same reason for the money, it's fairest to allocate evenly."
R_7IQq9jTZgNEgILv,I gave 5 minutes to each person. I did this because it is what is fair.
R_7QVGAUO4ylSpl58,I allocated 5 minutes for myself and 5 minutes for the other participant. I chose to do this because I wanted each of us to be given the same amount of time to choose what music we wanted to listen to.
R_3cc2j5Y4w4eP5fj,i think we should both get some time off but i would rather get the extra minute off compared to him. this is probably because i just met the guy but still would give myself the extra bit of time.
R_7t3Cbq8APpo6iCP,"I allocated the minutes of music to listen to evenly between the both of us for fairness. Since we both have to work on this boring task, it is only fair that we both can have an equal break time."
R_7LhMKOVa2mCBqpz,I would split that even 5 minutes because we are both doing this task it is only fair if we are both working on that we have an equal break because we are both putting the same effort in.
R_7fdwFLa7Yh8usV5,"I choose to only have 3 minutes of music for myself as I don't mind doing the boring task. I would still have enough time for one song, and it would give a good break. I also don't really know the person I'm paired with, so I thought I'd be nice and give them more time for music."
R_1d6uH7FHIGPkl9Q,I chose this beacuse i think it's fair for things to be split
R_53TvkxPz0HTRouj,I thought it would only be fair to each take 5. That way we split the time evenly and both leave happy.
R_5oEDHGoZEDJk3Re,I split the minutes between me and my partner.  I did this because it was the most fair and even way to allocate the minutes.
R_39SfDQDYskhgV2x,"Time is less pressing of an issue than money and would be more than happy to split the 10 minutes down the middle with the assignments partner, so they would not have to suffer through the boring exercise any more than I have to."
R_57weqDF5NafiKZE,"because thats a boring activity just like finding letter e, we'd better doing other things."
R_3KfNt6kAI4k2fYi,"I chose to split the 10 minutes and give both of us 5 minutes off. It feels the fairest. Furthermore, given that I don't know my partner well, I don't want to be unnecessarily mean to them."
R_3YnAX4Pu2HJlUFK,I am not better than him so i do not deserve more time and vice versa.  We are both equal and contributed equally so the reward is split equally
R_640P52DANBfhVel,The same reasoning applies here. Why should I get more than somebody that seems to be a nice person? Taking more would just create tension for no reason.
R_3zZu3SQUr1gspwT,I gave each of us five minutes because that gives each of us the chance to listen to a song of our choosing. Most songs run grom 3 1/2 minutes long to 5 minutes long so that gives the both of us at least one song of our choosing to listen to.
R_6G6sZs56fXs1QDr,I split the minutes in half. I did so because it is fair and makes it so we both have the same number of minutes.
R_3sXCbCorNi2tm7v,I picked 5 minutes so it was fair for both of us
R_5vkx2JS9b9XiRF8,"Like I said for the last question, it's only fair if it's even. I don't see why I would be more or less deserving of a break than my partner, we are both performing the same task and are entitled to the same break."
R_5mgXEDcNklWaWDc,I split it because I'm nice
R_5CQ1OEMXYk8KgQG,"I said 5 min for me and 5 min for the person randomly paired. I just think that's the fairest answer because I know that if roles were reversed and that person got to choose, I would want them to pick for both of us to enjoy some music rather than just themselves. I wanted to be fair and not be selfish."
R_6fjAzU15Apvf8IV,I picked 5 minutes for myself and 5 minutes for my partner because I felt it was a fair amount of time.
R_1XhDnRp2A2R7yd8,I split the minutes up where we each got 5 minutes. I did this because I realized how boring the activity was and thought it would be nice to share them.
R_73D2NP8QFBKLkAz,"Much like the money, I wanted the minutes off to be split between my partner and I fairly. Because that would be the correct thing to do."
R_1ab5Mqh3PBpYtyz,I feel like this is different because were doing a task together so I was feeling nice.
R_16i4bgXodwQqZNf,"I would give all 10 minutes to another participant because though I like music, I would get bored just listening to music so I would honestly rather do something that may be deemed slightly unpleasant. Moreover, I know that I wouldn't be hurt or really care if I got no music time so I would rather give it to someone else who may potentially enjoy it more than I would."
R_6kj4bh00Re7IahI,evryone deserves a break!
R_11jxRZf29wIVVIc,its fair and i think spending 10 whole minutes listening to music myself will get me bored
R_3qagv5BLB8hf6qt,"I didn't feel that it was a significant amount of time to be allocated, so I felt that it'd make the most sense to allocate it evenly. I don't think either of us would've gotten enough utility out of the time to outweigh guilt of taking it from the other if it'd been allocated unevenly."
R_1erbKIZnvo3fa4A,"Again, I would split the time off in half. I think it is only fair that we are each given the same amount of time off from doing an annoying task. No one wants to be doing it so why should one person have to endure longer than the other."
R_51pCaa0vXOu3Ky4,We are both completing the same task to the same goal. Her having 5 minutes off as well would benefit me also.
R_5zqDEGx6087CD50,I would give the other participants 5 minutes of time doing the boring task and five minutes of time listening to the music. This is because I can keep the time we are both doing tasks even.
R_7497KfB31wP6e21,"It should be fair, if we are given 10 minutes in total of music, the obvious answer is to distribute them evenly."
R_669Y7T0hG5vXvE3,"I mean the task is only 10 minutes long, honestly I wouldn't even take the break I'd rather just get it over with. However, if in this scenario I would want a break, I'd just split it evenly so we both get a chance to hangout for 5 mins and then finish it."
R_6g7P7a6awguSMOf,I chose to take 6 minutes off myself because I wouldn't mind doing more of the work. I gave my study partner 4 minutes off to another because I just met the other person.
R_7rGiyWbbc0PwEpU,"Because its balanced and I think we both should have an equal oppurtunity to have some time to listen to music. Even though the task is boring, I think it would be fair to both of us to split it evenly."
R_6KeDKfd1g0bOMf8,"Five minutes I wouldn't mind, but ten minutes I would. I think 50/50 is fair and makes the most sense."
R_5Hv6KqUCHdO6Xol,I allocated 5 minutes off to the other participant because in my short conversation with them at the beginning of the study they seemed nice. I also think that if I have the ability to split something evenly with someone that that is something I should do.
R_5flYE7QRBjZd6bc,I did 5 and 5 I wanted it to be fair
R_6OPSvBizU5QR6Qs,"I feel my partner would not feel as bad if I take time to listen to music, chill, etc. It is different than money where you can buy stuff with t."
R_5xUwNa2OIC7Y5Ut,"I've allocated equal time between me and my partner this way it is fair if we both have an equal amount of time off. I don't know my partner that well, so I have no strong negative or positive feelings towards them."
R_3Sfr4X6gk7fJU7X,I chose to give him half the time since that is fair and I would hope he would do the same. Also I don't really think I would want to listen to music that long.
R_6nYLGVGy81waBdY,"distributing the time evenly makes the most sense to me because I think it would make us most productive. If we spent time being upset about who got more time to listen to music, it could take away from doing the task but if we just split it in half there is no room to get upset about the allocation of time."
R_1xYL2SHs1Mvwug9,That way is more fair. I dont want to give this random person I just met more work.
R_30V30Du437EBDIz,I think he would be just fine having one less minute of music
R_52tURThuN8N6FgA,"Same logic as before, it keeps things fair just split it down the middle. Everyone gets the same amount of benefits."
